touchpoint_id,opp_id,lead_id,touch_sequence,total_touches_in_journey,touch_date,days_before_opp_creation,channel,campaign,touch_type,landing_page,content_asset_id,engagement_score,is_first_touch,is_last_touch,true_marginal_contribution,attributed_revenue_brl
TP-0000012,OPP-00004,LEAD-000016,2,5,2022-12-10,43,direct,(direct),form_fill,/blog/leads-qualificados-b2b,AST-0007,59,0,0,0.036045,3647.73
TP-0000013,OPP-00004,LEAD-000016,3,5,2022-12-21,32,direct,(not set),demo_request,/lp/trial-30-dias,AST-0016,88,0,0,0.115027,11640.76
TP-0000014,OPP-00004,LEAD-000016,4,5,2023-01-10,12,direct,(not set),sales_call,/lp/roi-calculator,AST-0018,94,0,0,0.539975,54645.52
TP-0000015,OPP-00004,LEAD-000016,5,5,2023-01-21,1,direct,,click,/lp/trial-30-dias,AST-0016,21,0,1,0.296173,29972.71
TP-0000016,OPP-00005,LEAD-000022,1,5,2022-12-11,30,organic_search,(none),impression,/blog/churn-saas-brasil,AST-0005,21,1,0,0.011666,436.29
TP-0000017,OPP-00005,LEAD-000022,2,5,2022-12-13,28,organic_search,(not set),click,/blog/crm-para-industria,AST-0002,26,0,0,0.031055,1161.44
TP-0000018,OPP-00005,LEAD-000022,3,5,2022-12-18,23,organic_search,,content_view,/blog/gestao-vendas-b2b,AST-0001,29,0,0,0.059179,2213.31
TP-0000019,OPP-00005,LEAD-000022,4,5,2023-01-09,1,organic_search,,form_fill,/blog/churn-saas-brasil,AST-0005,63,0,0,0.783368,29297.97
TP-0000020,OPP-00005,LEAD-000022,5,5,2023-01-10,0,organic_search,(not set),impression,/blog/crm-para-industria,AST-0002,2,0,1,0.114732,4290.99
TP-0000021,OPP-00006,LEAD-000023,1,2,2023-01-11,17,meta_ads,facebook_retargeting_2023,impression,/lp/roi-calculator,AST-0018,10,1,0,0.17837,8258.55
TP-0000022,OPP-00006,LEAD-000023,2,2,2023-01-15,13,meta_ads,facebook_retargeting_2023,click,/ebook/crm-para-varejo,AST-0008,32,0,1,0.82163,38041.45
TP-0000023,OPP-00007,LEAD-000024,1,2,2022-12-05,43,paid_search,google_branded_2022,click,/produto/crm-integracao,AST-0019,21,1,0,0.268894,15703.38
TP-0000024,OPP-00007,LEAD-000024,2,2,2022-12-17,31,paid_search,google_brand_keywords_2022,click,/produto/crm-integracao,AST-0019,15,0,1,0.731106,42696.62
TP-0000025,OPP-00008,LEAD-000030,1,8,2022-12-18,44,linkedin_ads,lkd_awareness_2022,impression,/webinar/automacao-vendas-demo,AST-0014,13,1,0,0.001417,131.09
TP-0000026,OPP-00008,LEAD-000030,2,8,2022-12-28,34,webinar_evento,evento_crm_gestores_q4,click,/webinar/automacao-vendas-demo,AST-0014,44,0,0,0.006681,617.97
TP-0000027,OPP-00008,LEAD-000030,3,8,2023-01-09,22,webinar_evento,bf-23,content_view,/webinar/integracao-erp-ao-vivo,AST-0012,34,0,0,0.02099,1941.59
TP-0000028,OPP-00008,LEAD-000030,4,8,2023-01-09,22,webinar_evento,evento_crm_gestores_q1,demo_request,/ebook/roi-tecnologia-empresas,AST-0010,83,0,0,0.083961,7766.36
TP-0000029,OPP-00008,LEAD-000030,5,8,2023-01-09,22,webinar_evento,webinar_integracao_erp_2023,sales_call,/lp/demo-gratis,AST-0015,78,0,0,0.094456,8737.16
TP-0000030,OPP-00008,LEAD-000030,6,8,2023-01-20,11,webinar_evento,bf-23,proposal_sent,/webinar/automacao-vendas-demo,AST-0014,82,0,0,0.161182,14909.29
TP-0000031,OPP-00008,LEAD-000030,7,8,2023-01-26,5,webinar_evento,evento_crm_gestores_q1,sales_call,/webinar/automacao-vendas-demo,AST-0014,100,0,0,0.318116,29425.76
TP-0000032,OPP-00008,LEAD-000030,8,8,2023-01-27,4,webinar_evento,campanha_natal_2023,form_fill,/webinar/crm-para-gestores,AST-0013,69,0,1,0.313198,28970.78
TP-0000033,OPP-00009,LEAD-000038,1,4,2022-12-12,44,organic_search,,impression,/ebook/gestao-pipeline-vendas,AST-0009,1,1,0,0.004773,194.75
TP-0000034,OPP-00009,LEAD-000038,2,4,2022-12-31,25,paid_search,google_brand_keywords_2022,click,/lp/trial-30-dias,AST-0016,25,0,0,0.042795,1746.02
TP-0000035,OPP-00009,LEAD-000038,3,4,2023-01-08,17,paid_search,integracao_erp_pesquisa_2023,content_view,/produto/api-marketplace,AST-0021,24,0,0,0.10104,4122.45
TP-0000036,OPP-00009,LEAD-000038,4,4,2023-01-18,7,paid_search,integracao_erp_pesquisa_2023,form_fill,/produto/api-marketplace,AST-0021,57,0,1,0.851392,34736.79
TP-0000037,OPP-00010,LEAD-000043,1,8,2022-12-09,44,linkedin_ads,linkedin_decisores_ti_2022,impression,/webinar/crm-para-gestores,AST-0013,22,1,0,0.007628,565.26
TP-0000038,OPP-00010,LEAD-000043,2,8,2022-12-14,39,linkedin_ads,lkd_awareness_2022,click,/webinar/automacao-vendas-demo,AST-0014,28,0,0,0.02516,1864.35
TP-0000039,OPP-00010,LEAD-000043,3,8,2022-12-15,38,linkedin_ads,lkd_awareness_2022,content_view,/lp/trial-30-dias,AST-0016,34,0,0,0.03603,2669.85
TP-0000040,OPP-00010,LEAD-000043,4,8,2022-12-22,31,linkedin_ads,linkedin_decisores_ti_2022,demo_request,/lp/trial-30-dias,AST-0016,88,0,0,0.237617,17607.39
TP-0000041,OPP-00010,LEAD-000043,5,8,2022-12-30,23,linkedin_ads,linkedin_prospeccao_q4_2022,sales_call,/lp/demo-gratis,AST-0015,96,0,0,0.473366,35076.46
TP-0000042,OPP-00010,LEAD-000043,6,8,2023-01-04,18,linkedin_ads,linkedin_decisores_ti_2023,impression,/lp/trial-30-dias,AST-0016,8,0,0,0.037586,2785.15
TP-0000043,OPP-00010,LEAD-000043,7,8,2023-01-04,18,linkedin_ads,lkd_awareness_2023,click,/lp/roi-calculator,AST-0018,38,0,0,0.112759,8355.45
TP-0000044,OPP-00010,LEAD-000043,8,8,2023-01-07,15,linkedin_ads,linkedin_gestores_2023,impression,/webinar/crm-para-gestores,AST-0013,19,0,1,0.069853,5176.1
TP-0000045,OPP-00011,LEAD-000052,1,2,2022-12-14,38,paid_search,google_branded_2022,click,/lp/comparativo-erp,AST-0017,15,1,0,0.313037,42134.81
TP-0000046,OPP-00011,LEAD-000052,2,2,2022-12-23,29,paid_search,crm-b2b-keywords-2022,click,/lp/trial-30-dias,AST-0016,16,0,1,0.686963,92465.19
TP-0000047,OPP-00012,LEAD-000060,1,4,2022-12-13,37,paid_search,crm-b2b-keywords-2022,click,/lp/comparativo-erp,AST-0017,31,1,0,0.022813,2890.44
TP-0000048,OPP-00012,LEAD-000060,2,4,2022-12-13,37,paid_search,integracao_erp_pesquisa_2022,click,/lp/demo-gratis,AST-0015,36,0,0,0.017549,2223.42
TP-0000049,OPP-00012,LEAD-000060,3,4,2022-12-22,28,paid_search,integracao_erp_pesquisa_2022,form_fill,/lp/roi-calculator,AST-0018,79,0,0,0.122378,15505.35
TP-0000050,OPP-00012,LEAD-000060,4,4,2023-01-07,12,paid_search,pesquisa_concorrentes_q1_2023,demo_request,/produto/crm-integracao,AST-0019,91,0,1,0.83726,106080.79
TP-0000051,OPP-00013,LEAD-000065,1,3,2022-12-12,42,organic_search,(none),impression,/blog/gestao-vendas-b2b,AST-0001,26,1,0,0.009126,278.34
TP-0000052,OPP-00013,LEAD-000065,2,3,2023-01-08,15,organic_search,(none),click,/produto/api-marketplace,AST-0021,31,0,0,0.144884,4418.96
TP-0000053,OPP-00013,LEAD-000065,3,3,2023-01-23,0,organic_search,,content_view,/produto/api-marketplace,AST-0021,26,0,1,0.84599,25802.7
TP-0000054,OPP-00014,LEAD-000069,1,4,2022-12-09,41,direct,(direct),click,/lp/comparativo-erp,AST-0017,34,1,0,0.007073,335.24
TP-0000055,OPP-00014,LEAD-000069,2,4,2023-01-03,16,organic_search,,form_fill,/ebook/roi-tecnologia-empresas,AST-0010,75,0,0,0.118968,5639.08
TP-0000056,OPP-00014,LEAD-000069,3,4,2023-01-04,15,organic_search,(not set),demo_request,/ebook/gestao-pipeline-vendas,AST-0009,84,0,0,0.185857,8809.61
TP-0000057,OPP-00014,LEAD-000069,4,4,2023-01-15,4,organic_search,(not set),sales_call,/produto/erp-connector,AST-0020,90,0,1,0.688103,32616.07
TP-0000058,OPP-00015,LEAD-000070,1,4,2022-12-11,44,paid_search,pesquisa_concorrentes_q4_2022,click,/lp/demo-gratis,AST-0015,27,1,0,0.027752,832.57
TP-0000059,OPP-00015,LEAD-000070,2,4,2022-12-22,33,webinar_evento,evento_crm_gestores_q4,click,/ebook/integracao-sistemas-guia,AST-0011,32,0,0,0.046837,1405.11
TP-0000060,OPP-00015,LEAD-000070,3,4,2022-12-25,30,webinar_evento,bf-23,form_fill,/webinar/crm-para-gestores,AST-0013,76,0,0,0.212776,6383.28
TP-0000061,OPP-00015,LEAD-000070,4,4,2022-12-31,24,webinar_evento,bf-23,demo_request,/lp/demo-gratis,AST-0015,80,0,1,0.712635,21379.05
TP-0000062,OPP-00016,LEAD-000076,1,5,2022-12-31,22,linkedin_ads,linkedin_gestores_2022,impression,/ebook/gestao-pipeline-vendas,AST-0009,11,1,0,0.00972,443.25
TP-0000063,OPP-00016,LEAD-000076,2,5,2023-01-07,15,webinar_evento,campanha-natal-2023,click,/lp/roi-calculator,AST-0018,27,0,0,0.036984,1686.46
TP-0000064,OPP-00016,LEAD-000076,3,5,2023-01-10,12,webinar_evento,bf-23,content_view,/lp/roi-calculator,AST-0018,34,0,0,0.061096,2785.97
TP-0000065,OPP-00016,LEAD-000076,4,5,2023-01-13,9,webinar_evento,campanha-natal-2023,demo_request,/blog/gestao-vendas-b2b,AST-0001,89,0,0,0.302785,13807.02
TP-0000066,OPP-00016,LEAD-000076,5,5,2023-01-15,7,webinar_evento,webinar_integracao_erp_2023,sales_call,/lp/comparativo-erp,AST-0017,100,0,1,0.589415,26877.3
TP-0000067,OPP-00017,LEAD-000085,1,8,2022-12-08,43,webinar_evento,black_friday_2023,impression,/webinar/integracao-erp-ao-vivo,AST-0012,16,1,0,0.003282,616.99
TP-0000068,OPP-00017,LEAD-000085,2,8,2022-12-10,41,webinar_evento,campanha_natal_2022,click,/lp/comparativo-erp,AST-0017,32,0,0,0.008736,1642.46
TP-0000069,OPP-00017,LEAD-000085,3,8,2022-12-14,37,webinar_evento,black_friday_2023,form_fill,/lp/roi-calculator,AST-0018,71,0,0,0.042628,8014.02
TP-0000070,OPP-00017,LEAD-000085,4,8,2022-12-16,35,webinar_evento,evento_crm_gestores_q4,demo_request,/webinar/automacao-vendas-demo,AST-0014,86,0,0,0.071526,13446.82
TP-0000071,OPP-00017,LEAD-000085,5,8,2022-12-26,25,webinar_evento,bf-23,sales_call,/lp/roi-calculator,AST-0018,79,0,0,0.164371,30901.71
TP-0000072,OPP-00017,LEAD-000085,6,8,2023-01-04,16,webinar_evento,bf-23,proposal_sent,/lp/demo-gratis,AST-0015,80,0,0,0.243147,45711.7
TP-0000073,OPP-00017,LEAD-000085,7,8,2023-01-14,6,webinar_evento,evento_crm_gestores_q1,form_fill,/ebook/crm-para-varejo,AST-0008,89,0,0,0.390251,73367.28
TP-0000074,OPP-00017,LEAD-000085,8,8,2023-01-19,1,webinar_evento,evento_crm_gestores_q1,impression,/webinar/integracao-erp-ao-vivo,AST-0012,19,0,1,0.076059,14299.02
TP-0000075,OPP-00018,LEAD-000088,1,3,2022-12-12,39,organic_search,(not set),impression,/blog/integracao-erp-sistemas,AST-0003,5,1,0,0.015564,1447.49
TP-0000076,OPP-00018,LEAD-000088,2,3,2022-12-15,36,organic_search,(not set),click,/ebook/roi-tecnologia-empresas,AST-0010,13,0,0,0.044501,4138.63
TP-0000077,OPP-00018,LEAD-000088,3,3,2023-01-17,3,organic_search,,content_view,/blog/automacao-marketing-b2b,AST-0004,42,0,1,0.939934,87413.88
TP-0000078,OPP-00019,LEAD-000089,1,5,2022-12-24,39,direct,(direct),click,/lp/demo-gratis,AST-0015,22,1,0,0.007478,252.76
TP-0000079,OPP-00019,LEAD-000089,2,5,2022-12-28,35,direct,,form_fill,/produto/api-marketplace,AST-0021,60,0,0,0.028067,948.67
TP-0000080,OPP-00019,LEAD-000089,3,5,2023-01-10,22,direct,,demo_request,/produto/crm-integracao,AST-0019,83,0,0,0.103324,3492.35
TP-0000081,OPP-00019,LEAD-000089,4,5,2023-01-22,10,direct,(direct),sales_call,/produto/api-marketplace,AST-0021,97,0,0,0.273909,9258.12
TP-0000082,OPP-00019,LEAD-000089,5,5,2023-01-27,5,direct,(not set),sales_call,/lp/roi-calculator,AST-0018,99,0,1,0.587222,19848.1
TP-0000083,OPP-00020,LEAD-000090,1,5,2022-12-27,28,paid_search,crm-b2b-keywords-2022,click,/produto/erp-connector,AST-0020,21,1,0,0.047737,3828.5
TP-0000084,OPP-00020,LEAD-000090,2,5,2023-01-07,17,paid_search,crm-b2b-keywords-2023,click,/lp/demo-gratis,AST-0015,20,0,0,0.080564,6461.24
TP-0000085,OPP-00020,LEAD-000090,3,5,2023-01-08,16,paid_search,pesquisa_concorrentes_q1_2023,form_fill,/lp/comparativo-erp,AST-0017,66,0,0,0.317274,25445.36
TP-0000086,OPP-00020,LEAD-000090,4,5,2023-01-08,16,paid_search,google_branded_2023,demo_request,/blog/leads-qualificados-b2b,AST-0007,95,0,0,0.461489,37011.43
TP-0000087,OPP-00020,LEAD-000090,5,5,2023-01-09,15,paid_search,integracao_erp_pesquisa_2023,email_open,/lp/roi-calculator,AST-0018,2,0,1,0.092936,7453.47
TP-0000088,OPP-00021,LEAD-000095,1,5,2022-12-13,39,organic_search,(not set),impression,/blog/funil-vendas-complexas,AST-0006,13,1,0,0.007794,718.6
TP-0000089,OPP-00021,LEAD-000095,2,5,2023-01-04,17,organic_search,(not set),click,/produto/api-marketplace,AST-0021,32,0,0,0.086576,7982.33
TP-0000090,OPP-00021,LEAD-000095,3,5,2023-01-13,8,organic_search,(none),content_view,/blog/crm-para-industria,AST-0002,42,0,0,0.219547,20242.2
TP-0000091,OPP-00021,LEAD-000095,4,5,2023-01-13,8,organic_search,(not set),form_fill,/produto/api-marketplace,AST-0021,65,0,0,0.603753,55666.05
TP-0000092,OPP-00021,LEAD-000095,5,5,2023-01-13,8,organic_search,(none),impression,/blog/integracao-erp-sistemas,AST-0003,9,0,1,0.08233,7590.82
TP-0000093,OPP-00022,LEAD-000110,1,2,2022-12-24,42,organic_search,(not set),impression,/blog/funil-vendas-complexas,AST-0006,21,1,0,0.06475,9116.76
TP-0000094,OPP-00022,LEAD-000110,2,2,2023-01-13,22,organic_search,(none),click,/produto/crm-integracao,AST-0019,26,0,1,0.93525,131683.24
TP-0000095,OPP-00023,LEAD-000111,1,6,2022-12-10,44,webinar_evento,black_friday_2023,impression,/lp/demo-gratis,AST-0015,17,1,0,0.004616,517.02
TP-0000096,OPP-00023,LEAD-000111,2,6,2022-12-19,35,organic_search,(not set),click,/produto/api-marketplace,AST-0021,19,0,0,0.020261,2269.21
TP-0000097,OPP-00023,LEAD-000111,3,6,2022-12-27,27,organic_search,(not set),form_fill,/ebook/integracao-sistemas-guia,AST-0011,70,0,0,0.131552,14733.8
TP-0000098,OPP-00023,LEAD-000111,4,6,2022-12-30,24,organic_search,,demo_request,/produto/erp-connector,AST-0020,78,0,0,0.237076,26552.48
TP-0000099,OPP-00023,LEAD-000111,5,6,2023-01-01,22,organic_search,(none),sales_call,/lp/roi-calculator,AST-0018,95,0,0,0.307667,34458.76
TP-0000100,OPP-00023,LEAD-000111,6,6,2023-01-20,3,organic_search,(not set),click,/produto/erp-connector,AST-0020,22,0,1,0.298828,33468.74
TP-0000101,OPP-00024,LEAD-000126,1,4,2022-12-28,36,paid_search,crm-b2b-keywords-2022,click,/lp/comparativo-erp,AST-0017,29,1,0,0.083651,5428.97
TP-0000102,OPP-00024,LEAD-000126,2,4,2022-12-29,35,direct,(not set),click,/ebook/gestao-pipeline-vendas,AST-0009,32,0,0,0.069111,4485.33
TP-0000103,OPP-00024,LEAD-000126,3,4,2022-12-29,35,direct,(direct),form_fill,/produto/erp-connector,AST-0020,50,0,0,0.253409,16446.22
TP-0000104,OPP-00024,LEAD-000126,4,4,2022-12-30,34,direct,(direct),demo_request,/blog/automacao-marketing-b2b,AST-0004,98,0,1,0.593829,38539.48
TP-0000105,OPP-00025,LEAD-000134,1,4,2022-12-25,43,webinar_evento,webinar_integracao_erp_2022,impression,/webinar/automacao-vendas-demo,AST-0014,29,1,0,0.005,244.51
TP-0000106,OPP-00025,LEAD-000134,2,4,2022-12-26,42,webinar_evento,bf-23,click,/ebook/crm-para-varejo,AST-0008,25,0,0,0.012393,606.04
TP-0000107,OPP-00025,LEAD-000134,3,4,2023-01-02,35,webinar_evento,bf-23,form_fill,/lp/comparativo-erp,AST-0017,70,0,0,0.074922,3663.7
TP-0000108,OPP-00025,LEAD-000134,4,4,2023-01-26,11,webinar_evento,bf-23,demo_request,/webinar/automacao-vendas-demo,AST-0014,87,0,1,0.907684,44385.74
TP-0000109,OPP-00026,LEAD-000139,1,3,2022-12-24,44,paid_search,crm-b2b-keywords-2022,click,/produto/erp-connector,AST-0020,21,1,0,0.036108,2448.13
TP-0000110,OPP-00026,LEAD-000139,2,3,2023-01-02,35,paid_search,google_branded_2023,click,/lp/demo-gratis,AST-0015,6,0,0,0.052826,3581.62
TP-0000111,OPP-00026,LEAD-000139,3,3,2023-01-18,19,paid_search,pesquisa_concorrentes_q1_2023,form_fill,/produto/api-marketplace,AST-0021,79,0,1,0.911066,61770.25
TP-0000112,OPP-00027,LEAD-000140,1,5,2022-12-23,40,direct,(not set),click,/ebook/crm-para-varejo,AST-0008,33,1,0,0.007274,657.57
TP-0000113,OPP-00027,LEAD-000140,2,5,2023-01-06,26,direct,(direct),form_fill,/produto/crm-integracao,AST-0019,70,0,0,0.05577,5041.57
TP-0000114,OPP-00027,LEAD-000140,3,5,2023-01-10,22,direct,(direct),demo_request,/produto/erp-connector,AST-0020,72,0,0,0.107947,9758.38
TP-0000115,OPP-00027,LEAD-000140,4,5,2023-01-24,8,direct,(direct),sales_call,/lp/comparativo-erp,AST-0017,82,0,0,0.330108,29841.77
TP-0000116,OPP-00027,LEAD-000140,5,5,2023-01-31,1,direct,,form_fill,/produto/erp-connector,AST-0020,76,0,1,0.498902,45100.7
TP-0000117,OPP-00028,LEAD-000141,1,6,2022-12-29,35,organic_search,(none),impression,/lp/trial-30-dias,AST-0016,1,1,0,0.00644,249.24
TP-0000118,OPP-00028,LEAD-000141,2,6,2023-01-03,30,direct,(direct),click,/ebook/roi-tecnologia-empresas,AST-0010,13,0,0,0.021242,822.05
TP-0000119,OPP-00028,LEAD-000141,3,6,2023-01-09,24,direct,(not set),content_view,/produto/crm-integracao,AST-0019,40,0,0,0.043476,1682.54
TP-0000120,OPP-00028,LEAD-000141,4,6,2023-01-09,24,direct,(not set),form_fill,/produto/crm-integracao,AST-0019,77,0,0,0.11956,4626.98
TP-0000121,OPP-00028,LEAD-000141,5,6,2023-01-20,13,direct,(direct),email_open,/lp/roi-calculator,AST-0018,27,0,0,0.047693,1845.72
TP-0000122,OPP-00028,LEAD-000141,6,6,2023-01-24,9,direct,(direct),demo_request,/produto/crm-integracao,AST-0019,85,0,1,0.761588,29473.47
TP-0000123,OPP-00029,LEAD-000145,1,6,2022-12-26,35,linkedin_ads,linkedin_gestores_2022,impression,/lp/trial-30-dias,AST-0016,15,1,0,0.002831,191.08
TP-0000124,OPP-00029,LEAD-000145,2,6,2022-12-31,30,linkedin_ads,linkedin_prospecao_q4_2022,click,/webinar/automacao-vendas-demo,AST-0014,33,0,0,0.009337,630.23
TP-0000125,OPP-00029,LEAD-000145,3,6,2023-01-09,21,linkedin_ads,linkedin_prospeccao_q1_2023,content_view,/webinar/integracao-erp-ao-vivo,AST-0012,42,0,0,0.023677,1598.18
TP-0000126,OPP-00029,LEAD-000145,4,6,2023-01-10,20,linkedin_ads,lkd_awareness_2023,demo_request,/lp/roi-calculator,AST-0018,79,0,0,0.101719,6866.06
TP-0000127,OPP-00029,LEAD-000145,5,6,2023-01-22,8,linkedin_ads,linkedin_prospeccao_q1_2023,sales_call,/webinar/integracao-erp-ao-vivo,AST-0012,88,0,0,0.269655,18201.71
TP-0000128,OPP-00029,LEAD-000145,6,6,2023-01-29,1,linkedin_ads,linkedin_prospecao_q1_2023,demo_request,/ebook/roi-tecnologia-empresas,AST-0010,91,0,1,0.592781,40012.74
TP-0000129,OPP-00030,LEAD-000148,1,5,2022-12-24,42,paid_search,integracao_erp_pesquisa_2022,click,/lp/comparativo-erp,AST-0017,32,1,0,0.010645,852.67
TP-0000130,OPP-00030,LEAD-000148,2,5,2023-01-20,15,paid_search,pesquisa_concorrentes_q1_2023,click,/ebook/gestao-pipeline-vendas,AST-0009,18,0,0,0.056334,4512.37
TP-0000131,OPP-00030,LEAD-000148,3,5,2023-01-25,10,paid_search,google_brand_keywords_2023,form_fill,/ebook/crm-para-varejo,AST-0008,59,0,0,0.295222,23647.26
TP-0000132,OPP-00030,LEAD-000148,4,5,2023-01-29,6,paid_search,pesquisa_concorrentes_q1_2023,demo_request,/lp/demo-gratis,AST-0015,86,0,0,0.571426,45771.2
TP-0000133,OPP-00030,LEAD-000148,5,5,2023-02-01,3,paid_search,crm-b2b-keywords-2023,impression,/lp/comparativo-erp,AST-0017,10,0,1,0.066373,5316.51
TP-0000134,OPP-00031,LEAD-000150,1,7,2022-12-31,39,webinar_evento,evento_crm_gestores_q4,impression,/lp/demo-gratis,AST-0015,12,1,0,0.003318,185.45
TP-0000135,OPP-00031,LEAD-000150,2,7,2023-01-03,36,webinar_evento,evento_crm_gestores_q1,click,/lp/roi-calculator,AST-0018,42,0,0,0.009486,530.24
TP-0000136,OPP-00031,LEAD-000150,3,7,2023-01-11,28,webinar_evento,evento_crm_gestores_q1,form_fill,/webinar/integracao-erp-ao-vivo,AST-0012,74,0,0,0.061589,3442.82
TP-0000137,OPP-00031,LEAD-000150,4,7,2023-01-23,16,webinar_evento,bf-23,demo_request,/lp/comparativo-erp,AST-0017,76,0,0,0.211097,11800.31
TP-0000138,OPP-00031,LEAD-000150,5,7,2023-01-26,13,webinar_evento,bf-23,sales_call,/webinar/integracao-erp-ao-vivo,AST-0012,77,0,0,0.294237,16447.85
TP-0000139,OPP-00031,LEAD-000150,6,7,2023-01-28,11,webinar_evento,campanha-natal-2023,sales_call,/produto/api-marketplace,AST-0021,68,0,0,0.339422,18973.67
TP-0000140,OPP-00031,LEAD-000150,7,7,2023-02-02,6,webinar_evento,campanha_natal_2023,email_open,/produto/api-marketplace,AST-0021,13,0,1,0.080852,4519.65
TP-0000141,OPP-00032,LEAD-000158,1,5,2022-12-28,29,paid_search,crm-b2b-keywords-2022,click,/lp/demo-gratis,AST-0015,28,1,0,0.032518,1160.9
TP-0000142,OPP-00032,LEAD-000158,2,5,2023-01-12,14,direct,,click,/produto/erp-connector,AST-0020,27,0,0,0.07303,2607.16
TP-0000143,OPP-00032,LEAD-000158,3,5,2023-01-15,11,direct,,form_fill,/lp/trial-30-dias,AST-0016,48,0,0,0.331768,11844.11
TP-0000144,OPP-00032,LEAD-000158,4,5,2023-01-15,11,direct,,demo_request,/produto/api-marketplace,AST-0021,85,0,0,0.482571,17227.8
TP-0000145,OPP-00032,LEAD-000158,5,5,2023-01-23,3,direct,(not set),impression,/lp/roi-calculator,AST-0018,24,0,1,0.080113,2860.02
TP-0000146,OPP-00033,LEAD-000161,1,6,2022-12-28,39,webinar_evento,campanha_natal_2022,impression,/lp/demo-gratis,AST-0015,2,1,0,0.005946,294.93
TP-0000147,OPP-00033,LEAD-000161,2,6,2023-01-01,35,webinar_evento,black_friday_2023,click,/lp/demo-gratis,AST-0015,30,0,0,0.01826,905.7
TP-0000148,OPP-00033,LEAD-000161,3,6,2023-01-01,35,webinar_evento,campanha_natal_2023,form_fill,/ebook/roi-tecnologia-empresas,AST-0010,77,0,0,0.066953,3320.88
TP-0000149,OPP-00033,LEAD-000161,4,6,2023-01-03,33,webinar_evento,bf-23,demo_request,/lp/demo-gratis,AST-0015,86,0,0,0.112342,5572.15
TP-0000150,OPP-00033,LEAD-000161,5,6,2023-01-14,22,webinar_evento,campanha_natal_2023,sales_call,/blog/integracao-erp-sistemas,AST-0003,100,0,0,0.277284,13753.3
TP-0000151,OPP-00033,LEAD-000161,6,6,2023-01-24,12,webinar_evento,bf-23,form_fill,/webinar/automacao-vendas-demo,AST-0014,49,0,1,0.519215,25753.04
TP-0000152,OPP-00034,LEAD-000167,1,3,2023-01-08,34,direct,(not set),click,/produto/api-marketplace,AST-0021,9,1,0,0.01525,486.49
TP-0000153,OPP-00034,LEAD-000167,2,3,2023-01-23,19,direct,(direct),form_fill,/produto/erp-connector,AST-0020,73,0,0,0.125581,4006.03
TP-0000154,OPP-00034,LEAD-000167,3,3,2023-02-08,3,direct,(not set),demo_request,/lp/roi-calculator,AST-0018,100,0,1,0.859169,27407.48
TP-0000155,OPP-00035,LEAD-000173,1,5,2023-01-14,24,webinar_evento,campanha-natal-2023,impression,/webinar/automacao-vendas-demo,AST-0014,1,1,0,0.007512,447.71
TP-0000156,OPP-00035,LEAD-000173,2,5,2023-01-14,24,organic_search,(not set),click,/produto/api-marketplace,AST-0021,23,0,0,0.017335,1033.18
TP-0000157,OPP-00035,LEAD-000173,3,5,2023-01-23,15,organic_search,,form_fill,/produto/api-marketplace,AST-0021,40,0,0,0.12089,7205.04
TP-0000158,OPP-00035,LEAD-000173,4,5,2023-01-30,8,organic_search,,demo_request,/blog/gestao-vendas-b2b,AST-0001,85,0,0,0.289911,17278.68
